Date,Kick-off,Home team,Away team,Location,Confirmed?,BT Sport?
2018-01-06,15:00,Sale Sharks,Harlequins,AJ Bell Stadium,N
2018-01-07,15:00,Newcastle Falcons,Exeter Chiefs,Kingston Park,N
2018-01-07,15:00,Wasps,Saracens,Ricoh Arena,Y
2018-02-09,19:45,Bath Rugby,Northampton Saints,Recreation Ground,Y
2018-02-10,14:00,Exeter Chiefs,Worcester Warriors,Sandy Park,N
2018-02-10,14:30,Gloucester Rugby,Leicester Tigers,Kingsholm,N
2018-02-10,14:30,Saracens,Newcastle Falcons,Allianz Park,N
2018-02-10,15:00,London Irish,Sale Sharks,Madejski Stadium,N
2018-02-11,13:00,Harlequins,Wasps,Twickenham Stoop,Y
2018-02-16,19:45,Newcastle Falcons,Bath Rugby,Kingston Park,N
2018-02-16,19:45,Sale Sharks,Saracens,AJ Bell Stadium,Y
2018-02-17,15:00,Leicester Tigers,Harlequins,Welford Road,Y
2018-02-17,15:00,Northampton Saints,London Irish,Franklin's Gardens,N
2018-02-17,15:00,Worcester Warriors,Gloucester Rugby,Sixways,N
2018-02-18,15:00,Wasps,Exeter Chiefs,Ricoh Arena,Y
2018-02-24,14:00,Exeter Chiefs,Northampton Saints,Sandy Park,N
2018-02-24,14:30,Bath Rugby,Sale Sharks,Recreation Ground,N
2018-02-24,14:30,Gloucester Rugby,Wasps,Kingsholm,N
2018-02-24,15:00,Harlequins,Newcastle Falcons,Twickenham Stoop,N
2018-02-25,13:00,London Irish,Worcester Warriors,Madejski Stadium,Y
2018-02-25,15:30,Saracens,Leicester Tigers,Allianz Park,Y
2018-03-02,19:45,Harlequins,Bath Rugby,Twickenham Stoop,Y
2018-03-03,15:00,Exeter Chiefs,Saracens,Sandy Park,Y
2018-03-03,15:00,Gloucester Rugby,Newcastle Falcons,Kingsholm,N
2018-03-03,15:00,Northampton Saints,Sale Sharks,Franklin's Gardens,N
2018-03-04,15:00,Wasps,London Irish,Ricoh Arena,N
2018-03-04,15:00,Worcester Warriors,Leicester Tigers,Sixways,Y
2018-03-23,19:45,Bath Rugby,Exeter Chiefs,Recreation Ground,Y
2018-03-24,15:00,London Irish,Gloucester Rugby,Madejski Stadium,N
2018-03-24,15:00,Sale Sharks,Worcester Warriors,AJ Bell Stadium,N
2018-03-24,15:00,Saracens,Harlequins,London (Olympic) Stadium,Y
2018-03-24,17:30,Newcastle Falcons,Northampton Saints,St James's Park,Y
2018-03-25,14:00,Leicester Tigers,Wasps,Welford Road,Y
2018-04-06,TBC,Bath Rugby,Leicester Tigers,Twickenham Stadium,N
2018-04-07,TBC,Bath Rugby,Leicester Tigers,Twickenham Stadium,N
2018-04-08,TBC,Bath Rugby,Leicester Tigers,Twickenham Stadium,N
2018-04-06,TBC,Exeter Chiefs,Gloucester Rugby,Sandy Park,N
2018-04-07,TBC,Exeter Chiefs,Gloucester Rugby,Sandy Park,N
2018-04-08,TBC,Exeter Chiefs,Gloucester Rugby,Sandy Park,N
2018-04-06,TBC,Harlequins,London Irish,Twickenham Stoop,N
2018-04-07,TBC,Harlequins,London Irish,Twickenham Stoop,N
2018-04-08,TBC,Harlequins,London Irish,Twickenham Stoop,N
2018-04-06,TBC,Northampton Saints,Saracens,Franklin's Gardens,N
2018-04-07,TBC,Northampton Saints,Saracens,Franklin's Gardens,N
2018-04-08,TBC,Northampton Saints,Saracens,Franklin's Gardens,N
2018-04-06,TBC,Sale Sharks,Wasps,AJ Bell Stadium,N
2018-04-07,TBC,Sale Sharks,Wasps,AJ Bell Stadium,N
2018-04-08,TBC,Sale Sharks,Wasps,AJ Bell Stadium,N
2018-04-06,TBC,Worcester Warriors,Newcastle Falcons,Sixways,N
2018-04-07,TBC,Worcester Warriors,Newcastle Falcons,Sixways,N
2018-04-08,TBC,Worcester Warriors,Newcastle Falcons,Sixways,N
2018-04-13,TBC,Gloucester Rugby,Harlequins,Kingsholm,N
2018-04-14,TBC,Gloucester Rugby,Harlequins,Kingsholm,N
2018-04-15,TBC,Gloucester Rugby,Harlequins,Kingsholm,N
2018-04-13,TBC,Leicester Tigers,Northampton Saints,Welford Road,N
2018-04-14,TBC,Leicester Tigers,Northampton Saints,Welford Road,N
2018-04-15,TBC,Leicester Tigers,Northampton Saints,Welford Road,N
2018-04-13,TBC,London Irish,Exeter Chiefs,Madejski Stadium,N
2018-04-14,TBC,London Irish,Exeter Chiefs,Madejski Stadium,N
2018-04-15,TBC,London Irish,Exeter Chiefs,Madejski Stadium,N
2018-04-13,TBC,Newcastle Falcons,Sale Sharks,Kingston Park,N
2018-04-14,TBC,Newcastle Falcons,Sale Sharks,Kingston Park,N
2018-04-15,TBC,Newcastle Falcons,Sale Sharks,Kingston Park,N
2018-04-13,TBC,Saracens,Bath Rugby,Allianz Park,N
2018-04-14,TBC,Saracens,Bath Rugby,Allianz Park,N
2018-04-15,TBC,Saracens,Bath Rugby,Allianz Park,N
2018-04-13,TBC,Wasps,Worcester Warriors,Ricoh Arena,N
2018-04-14,TBC,Wasps,Worcester Warriors,Ricoh Arena,N
2018-04-15,TBC,Wasps,Worcester Warriors,Ricoh Arena,N
2018-04-27,TBC,Exeter Chiefs,Sale Sharks,Sandy Park,N
2018-04-28,TBC,Exeter Chiefs,Sale Sharks,Sandy Park,N
2018-04-29,TBC,Exeter Chiefs,Sale Sharks,Sandy Park,N
2018-04-27,TBC,Gloucester Rugby,Bath Rugby,Kingsholm,N
2018-04-28,TBC,Gloucester Rugby,Bath Rugby,Kingsholm,N
2018-04-29,TBC,Gloucester Rugby,Bath Rugby,Kingsholm,N
2018-04-27,TBC,Leicester Tigers,Newcastle Falcons,Welford Road,N
2018-04-28,TBC,Leicester Tigers,Newcastle Falcons,Welford Road,N
2018-04-29,TBC,Leicester Tigers,Newcastle Falcons,Welford Road,N
2018-04-27,TBC,London Irish,Saracens,Madejski Stadium,N
2018-04-28,TBC,London Irish,Saracens,Madejski Stadium,N
2018-04-29,TBC,London Irish,Saracens,Madejski Stadium,N
2018-04-27,TBC,Wasps,Northampton Saints,Ricoh Arena,N
2018-04-28,TBC,Wasps,Northampton Saints,Ricoh Arena,N
2018-04-29,TBC,Wasps,Northampton Saints,Ricoh Arena,N
2018-04-27,TBC,Worcester Warriors,Harlequins,Sixways,N
2018-04-28,TBC,Worcester Warriors,Harlequins,Sixways,N
2018-04-29,TBC,Worcester Warriors,Harlequins,Sixways,N
2018-05-05,TBC,Bath Rugby,London Irish,Recreation Ground,N
2018-05-05,TBC,Harlequins,Exeter Chiefs,Twickenham Stoop,N
2018-05-05,TBC,Newcastle Falcons,Wasps,Kingston Park,N
2018-05-05,TBC,Northampton Saints,Worcester Warriors,Franklin's Gardens,N
2018-05-05,TBC,Sale Sharks,Leicester Tigers,AJ Bell Stadium,N
2018-05-05,TBC,Saracens,Gloucester Rugby,Allianz Park,N
